ObjectID,ObjRightsType,ObjectStatusID
526,Public Domain,1
527,Public Domain,1
528,Public Domain,1
529,Public Domain,1
531,Public Domain,1
532,Public Domain,1
534,Public Domain,1
535,Public Domain,1
536,Public Domain,1
537,Public Domain,1
538,Public Domain,1
539,Public Domain,1
540,Public Domain,1
541,Public Domain,1
542,Public Domain,1
544,Public Domain,1
545,Public Domain,1
546,Public Domain,1
547,Public Domain,1
548,Public Domain,1
549,Public Domain,1
550,Public Domain,1
552,Public Domain,1
553,Public Domain,1
555,Public Domain,1
556,Public Domain,1
557,Public Domain,1
558,Public Domain,1
559,Public Domain,1
560,Public Domain,1
561,Public Domain,1
562,Public Domain,1
563,Online Use Only,1
564,Public Domain,1
565,Public Domain,1
566,Public Domain,1
568,Public Domain,1
569,Public Domain,1
570,Public Domain,1
571,Public Domain,1
575,Public Domain,1
577,Public Domain,1
578,Public Domain,1
580,Public Domain,1
581,Public Domain,1
582,Public Domain,1
583,Public Domain,1
584,Public Domain,1
585,Public Domain,1
586,Public Domain,1
587,Public Domain,1
588,Public Domain,1
589,Public Domain,1
590,Public Domain,1
591,Public Domain,1
592,Public Domain,1
593,Public Domain,1
594,Public Domain,1
595,Public Domain,1
596,Public Domain,1
597,Public Domain,1
598,Public Domain,1
599,Public Domain,1
600,Public Domain,1
601,Public Domain,1
602,Public Domain,1
603,Public Domain,1
604,Public Domain,1
605,Public Domain,1
606,Public Domain,1
607,Public Domain,1
608,Public Domain,1
609,Public Domain,1
610,Public Domain,1
611,Public Domain,1
612,Public Domain,1
613,Public Domain,1
614,Public Domain,1
615,Public Domain,1
616,Public Domain,1
617,Public Domain,1
618,Public Domain,1
619,Public Domain,1
620,Public Domain,1
621,Public Domain,1
622,Public Domain,1
623,Public Domain,1
624,Public Domain,1
625,Public Domain,1
626,Public Domain,1
627,Public Domain,1
628,Public Domain,1
629,Public Domain,1
630,Public Domain,1
631,Public Domain,1
632,Public Domain,1
633,Public Domain,1
634,Public Domain,1
635,Public Domain,1
636,Public Domain,1
637,Public Domain,1
638,Public Domain,1
639,Public Domain,1
640,Public Domain,1
641,Public Domain,1
642,Public Domain,1
643,Public Domain,1
644,Public Domain,1
645,Public Domain,1
646,Public Domain,1
647,Public Domain,1
648,Public Domain,1
649,Public Domain,1
650,Public Domain,1
651,Public Domain,1
652,Public Domain,1
653,Public Domain,1
654,Public Domain,1
655,Public Domain,1
656,Public Domain,1
657,Public Domain,1
658,Public Domain,1
659,Public Domain,1
660,Public Domain,1
661,Public Domain,1
662,Public Domain,1
663,Public Domain,1
664,Public Domain,1
665,Public Domain,1
666,Public Domain,1
668,Public Domain,1
669,Public Domain,1
670,Public Domain,1
672,Public Domain,1
673,Public Domain,1
674,Public Domain,1
675,Public Domain,1
676,Public Domain,1
677,Public Domain,1
678,Public Domain,1
680,Public Domain,1
681,Public Domain,1
682,Public Domain,1
683,Public Domain,1
684,Public Domain,1
685,Public Domain,1
686,Public Domain,1
687,Public Domain,1
688,Full Permission,1
689,Public Domain,1
690,Public Domain,1
691,Public Domain,1
692,Public Domain,1
693,Public Domain,1
694,Public Domain,1
695,Public Domain,1
696,Public Domain,1
697,Public Domain,1
698,Public Domain,1
699,Public Domain,1
700,Public Domain,1
701,Public Domain,1
702,Public Domain,1
703,Public Domain,1
704,Public Domain,1
705,Public Domain,1
706,Public Domain,1
707,Public Domain,1
708,Public Domain,1
709,Public Domain,1
710,Public Domain,1
711,Public Domain,1
712,Public Domain,1
713,Public Domain,1
714,Public Domain,1
715,Public Domain,1
717,Public Domain,1
718,Public Domain,1
719,Public Domain,1
720,Public Domain,1
721,Public Domain,1
722,Public Domain,1
723,Public Domain,1
724,Public Domain,1
726,Public Domain,1
727,Public Domain,1
728,Public Domain,1
729,Public Domain,1
730,Public Domain,1
731,Public Domain,1
732,Public Domain,1
733,Public Domain,1
734,Public Domain,1
737,Need Permission,1
738,Public Domain,1
739,Public Domain,1
740,Public Domain,1
741,Public Domain,1
742,Public Domain,1
743,Online Use Only,1
744,Online Use Only,1
745,Public Domain,1
746,Public Domain,1
747,Public Domain,1
748,Public Domain,1
749,Public Domain,1
750,Full Permission,1
751,Public Domain,1
752,Public Domain,1
753,Public Domain,1
754,Public Domain,1
755,Public Domain,1
756,Public Domain,1
757,Public Domain,1
758,Public Domain,1
759,Public Domain,1
760,Public Domain,1
761,Public Domain,1
762,Public Domain,1
763,Public Domain,1
764,Public Domain,1
766,Copyright Protected,1
767,Public Domain,1
768,Public Domain,1
769,Public Domain,1
770,Public Domain,1
771,Public Domain,1
772,Public Domain,1
773,Copyright Protected,1
774,Public Domain,1
775,Public Domain,1
776,Public Domain,1
777,Public Domain,1
778,Public Domain,1
779,Public Domain,1
780,Public Domain,1
781,Public Domain,1
782,Public Domain,1
783,Public Domain,1
784,Public Domain,1
786,Public Domain,1
787,Public Domain,1
788,Public Domain,1
789,Public Domain,1
790,Public Domain,1
791,Public Domain,1
792,Public Domain,1
793,Public Domain,1
794,Public Domain,1
795,Public Domain,1
796,Public Domain,1
797,Public Domain,1
798,Public Domain,1
799,Public Domain,1
800,Public Domain,1
801,Public Domain,1
802,Public Domain,1
803,Full Permission,1
804,Public Domain,1
805,Public Domain,1
806,Public Domain,1
807,Public Domain,1
810,Public Domain,1
811,Public Domain,1
812,Public Domain,1
813,Public Domain,1
814,Public Domain,1
815,Public Domain,1
816,Public Domain,1
818,Public Domain,1
819,Public Domain,1
821,Public Domain,1
822,Public Domain,1
823,Public Domain,1
824,Public Domain,1
825,Public Domain,1
826,Public Domain,1
827,Public Domain,1
828,Public Domain,1
829,Public Domain,1
830,Public Domain,1
831,Public Domain,1
832,Public Domain,1
833,Public Domain,1
835,Public Domain,1
836,Public Domain,1
837,Public Domain,1
838,Need Permission,1
839,Public Domain,1
840,Public Domain,1
842,Public Domain,1
843,Public Domain,1
844,Public Domain,1
845,Public Domain,1
846,Public Domain,1
847,Public Domain,1
848,Public Domain,1
850,Public Domain,1
851,Public Domain,1
852,Public Domain,1
853,Public Domain,1
854,Public Domain,1
855,Public Domain,1
856,Public Domain,1
857,Public Domain,1
858,Public Domain,1
859,Public Domain,1
860,Public Domain,1
861,Public Domain,1
862,Public Domain,1
863,Public Domain,1
864,Public Domain,1
865,Public Domain,1
866,Public Domain,1
867,Public Domain,1
868,Public Domain,1
869,Public Domain,1
870,Public Domain,1
871,Public Domain,1
872,Public Domain,1
873,Public Domain,1
874,Public Domain,1
875,Public Domain,1
876,Public Domain,1
877,Public Domain,1
878,Public Domain,1
879,Public Domain,1
880,Public Domain,1
881,Public Domain,1
882,Public Domain,1
883,Public Domain,1
884,Public Domain,1
885,Public Domain,1
886,Public Domain,1
887,Public Domain,1
888,Public Domain,1
889,Public Domain,1
890,Public Domain,1
891,Public Domain,1
892,Public Domain,1
893,Public Domain,1
894,Public Domain,1
895,Public Domain,1
896,Public Domain,1
897,Public Domain,1
898,Public Domain,1
899,Public Domain,1
900,Public Domain,1
901,Public Domain,1
902,Public Domain,1
903,Public Domain,1
904,Public Domain,1
905,Public Domain,1
906,Public Domain,1
907,Public Domain,1
908,Public Domain,1
909,Public Domain,1
910,Public Domain,1
911,Public Domain,1
912,Public Domain,1
913,Public Domain,1
914,Public Domain,1
